KO_ID	KO_function	5492_S3	5501_S5
K00007	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	45.746806841485046	103.15387396275618
K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	10.913760165206869	46.199547153537985
K00013	histidinol dehydrogenase [EC:1.1.1.23]	19.68672713479809	123.66612341537119
K00014	shikimate dehydrogenase [EC:1.1.1.25]	104.71058770732502	246.398296888054
K00015	glyoxylate reductase [EC:1.1.1.26]	10.270014142713833	30.090662332358274
K00016	L-lactate dehydrogenase [EC:1.1.1.27]	10.33792681804585	0.0
K00018	glycerate dehydrogenase [EC:1.1.1.29]	35.418442383122205	0.0
K00019	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	52.963977890651186	75.18307719679036
K00020	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	64.50644328343303	127.03206021019352
K00024	malate dehydrogenase [EC:1.1.1.37]	0.0	21.596545682966685
K00031	isocitrate dehydrogenase [EC:1.1.1.42]	11.707336410983006	8.044957649049287
K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	16.588980793905613	2.9692003278596837
K00035	D-galactose 1-dehydrogenase [EC:1.1.1.48]	0.0	16.46757543160241
K00036	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	68.62728242407647	95.17757402449828
K00042	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	43.785128595681705	86.12056668457976
K00043	4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]	23.28372825905685	72.53917855528152
K00052	3-isopropylmalate dehydrogenase [EC:1.1.1.85]	10.738928355669243	24.42783245112838
K00053	ketol-acid reductoisomerase [EC:1.1.1.86]	11.376717824943071	3.176284288162084
K00054	hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	38.280317185167206	102.86898932333047
K00055	aryl-alcohol dehydrogenase [EC:1.1.1.90]	0.0	5.9234472028400935
K00057	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	120.1987416858899	194.4899273046446
K00058	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	115.47065286221023	245.35657527425715
K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	500.70262423020046	1129.6097640600483
K00064	D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]	108.926532483649	19.955446953617475
K00065	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]	0.0	29.471781641836216
K00067	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	290.8878979498467	263.7262726362543
K00073	ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]	8.239526750358193	0.0
K00074	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	100.02365687344762	232.12240632081568
K00075	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	99.99425261742238	127.1397677950754
K00076	7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]	9.121196234714024	0.0
K00077	2-dehydropantoate 2-reductase [EC:1.1.1.169]	165.58052536805886	353.6729793090538
K00088	IMP dehydrogenase [EC:1.1.1.205]	2.016442676571226	6.615685260772761
K00090	glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]	38.952829973039954	100.03896291762574
K00093	methanol dehydrogenase [EC:1.1.1.244]	35.95034864048941	20.830501654037036
K00095	mannitol dehydrogenase [EC:1.1.1.255]	93.03474731854791	105.70247638527297
K00097	4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]	6.3126714310671295	22.01359748376963
K00099	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	118.86216286119773	172.7393610570214
K00101	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]	31.89166483778552	111.61453760184926
K00102	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]	53.893678310831454	84.8468742924743
K00108	choline dehydrogenase [EC:1.1.99.1]	45.660785447503336	150.4892853970038
K00109	2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]	45.580401861418075	78.77980985576656
K00111	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	136.2948226813019	243.46848822749342
K00116	malate dehydrogenase (quinone) [EC:1.1.5.4]	63.43916441331352	113.49390892179196
K00117	quinoprotein glucose dehydrogenase [EC:1.1.5.2]	40.99403517687362	88.42299254855263
K00118	glucose-fructose oxidoreductase [EC:1.1.99.28]	38.006016913343636	63.412359952492324
K00121	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	0.0	80.64811562057857
K00126	formate dehydrogenase subunit delta [EC:1.17.1.9]	30.242735518364498	0.0
K00127	formate dehydrogenase subunit gamma	93.69409194027385	0.0
K00128	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	18.75338106498868	0.0
K00131	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]	14.522793925400078	0.0
K00133	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	21.882862487079134	137.04079073965121
K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	43.57384028985262	16.915068190052448
K00135	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	7.977438408713135	132.25237469657463
K00138	aldehyde dehydrogenase [EC:1.2.1.-]	22.299462623935433	72.13654615546929
K00140	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]	55.508242900141674	164.13337121801726
K00145	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	75.21495138236071	106.85760925812134
K00147	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	77.7528813285612	119.93929571634531
K00148	glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]	11.379068571698479	9.928494573722613
K00150	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]	9.611207403720062	0.0
K00154	coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]	45.27568133285295	101.2220373852828
K00156	pyruvate dehydrogenase (quinone) [EC:1.2.5.1]	42.13914767049628	142.02885674074167
K00161	pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]	7.311340370461074	27.029797338348644
K00162	pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]	10.42627903720029	19.416439063546278
K00163	pyruvate dehydrogenase E1 component [EC:1.2.4.1]	226.48717850565893	181.00283137678795
K00164	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]	0.0	25.19874703328157
K00196	anaerobic carbon-monoxide dehydrogenase iron sulfur subunit	15.168392655081698	0.0
K00200	formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]	10.870689703467997	0.0
K00201	formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]	9.302522480203026	0.0
K00208	enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	114.79847874124292	178.05163927861
K00215	4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	9.74631557740787	20.81260023473299
K00217	maleylacetate reductase [EC:1.3.1.32]	29.261278826399963	0.0
K00227	Delta7-sterol 5-desaturase [EC:1.14.19.20]	0.0	5.475954444390055
K00228	coproporphyrinogen III oxidase [EC:1.3.3.3]	19.493428018122657	154.78056321807117
K00239	succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]	0.0	82.29771645599342
K00240	succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]	5.077154795274731	18.366963016327762
K00241	succinate dehydrogenase / fumarate reductase, cytochrome b subunit	320.42835783582507	176.49143872933766
K00242	succinate dehydrogenase / fumarate reductase, membrane anchor subunit	257.9293327520125	201.75335341999642
K00246	fumarate reductase subunit C	5.355698364207627	0.0
K00247	fumarate reductase subunit D	5.489511635021693	0.0
K00248	butyryl-CoA dehydrogenase [EC:1.3.8.1]	34.621100958220886	94.43171715695566
K00249	acyl-CoA dehydrogenase [EC:1.3.8.7]	387.51572184086683	387.0997569787781
K00253	isovaleryl-CoA dehydrogenase [EC:1.3.8.4]	53.67960098342815	157.5345192727715
K00254	dihydroorotate dehydrogenase [EC:1.3.5.2]	37.304498301099116	77.90620777648385
K00259	alanine dehydrogenase [EC:1.4.1.1]	0.0	29.6145443926822
K00261	glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]	36.48633882230458	122.96976247685895
K00275	pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]	142.30125954352076	170.22762957688977
K00278	L-aspartate oxidase [EC:1.4.3.16]	34.242869789592646	136.33772210941885
K00281	glycine dehydrogenase [EC:1.4.4.2]	0.0	64.18476987993344
K00283	glycine dehydrogenase subunit 2 [EC:1.4.4.2]	0.0	21.677742932101143
K00285	D-amino-acid dehydrogenase [EC:1.4.5.1]	165.9130564260354	395.5461721134848
K00286	pyrroline-5-carboxylate reductase [EC:1.5.1.2]	104.21551645632006	79.99742679957473
K00287	dihydrofolate reductase [EC:1.5.1.3]	91.40647668035871	186.52932849190995
K00290	saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]	11.621095879591897	23.374831661445462
K00297	methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]	137.70704375540316	103.3168238749892
K00299	FMN reductase [EC:1.5.1.38]	34.30161853689513	68.0127897308009
K00307	reticuline oxidase [EC:1.21.3.3]	0.0	43.487460766899645
K00311	electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]	35.384894437900996	95.38833226179388
K00313	electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]	20.111534963715634	0.0
K00330	NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]	303.09636177296727	59.47968729354549
K00331	NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]	112.73167430367454	95.42197753077224
K00332	NADH-quinone oxidoreductase subunit C [EC:7.1.1.2]	58.173929956023656	118.95587120670211
K00333	NADH-quinone oxidoreductase subunit D [EC:7.1.1.2]	0.0	24.068458254288352
K00334	NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]	63.34065218699588	265.0704812397233
K00336	NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]	0.0	94.21651560794737
