contig_ID	coverage	taxid	domain	phylum	class	order	family	genus	species
c_5492_S3_1	12.3393	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_2	9.8580	2561929	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	Oxalobacteraceae bacterium OM1
c_5492_S3_3	19.1527	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_4	116.1172	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_5	251.6884	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_6	377.0483	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_7	145.3906	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_8	18.3876	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_9	217.5378	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_10	438.5818	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_11	272.0105	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_12	11.1762	13687	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
c_5492_S3_13	8.3549	1386	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA
c_5492_S3_14	162.6456	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_15	12.9471	1224	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
c_5492_S3_16	12.4937	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_17	53.6194	75	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	NA
c_5492_S3_18	48.7923	40324	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia
c_5492_S3_19	9.6137	106589	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	NA
c_5492_S3_20	290.0434	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_21	18.8043	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_22	170.7980	286638	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia alkalitolerans
c_5492_S3_23	14.1912	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_24	47.8630	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_25	11.1543	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_26	50.2212	75	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	NA
c_5492_S3_27	46.1903	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_28	34.2300	75	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	NA
c_5492_S3_29	18.0000	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_30	66.9108	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_31	368.0992	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_32	14.1762	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_33	24.3646	364039	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Azohydromonas	Azohydromonas australica
c_5492_S3_34	48.3589	364039	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Azohydromonas	Azohydromonas australica
c_5492_S3_35	242.1882	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_36	225.3551	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_37	319.7006	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_38	151.8925	12916	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	NA
c_5492_S3_39	420.3819	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_40	70.2333	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_41	49.0434	75	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	NA
c_5492_S3_42	20.2696	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_43	7.5572	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_44	10.0745	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_45	295.9168	937450	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	Oxalobacteraceae bacterium IMCC9480
c_5492_S3_46	295.3460	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_47	20.8491	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_48	525.8375	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_49	30.6185	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_50	46.2805	312063	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Azohydromonas	NA
c_5492_S3_51	75.0803	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_52	241.7750	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_53	7.8620	196159	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
c_5492_S3_54	17.4138	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_55	17.9690	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_56	250.0053	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_57	11.5136	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_58	147.5830	12916	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	NA
c_5492_S3_59	11.2832	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_60	12.3018	1224	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
c_5492_S3_61	53.5878	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_62	65.4821	34073	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Variovorax paradoxus
c_5492_S3_63	459.2449	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_64	178.9682	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_65	67.8968	364039	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Azohydromonas	Azohydromonas australica
c_5492_S3_66	17.1654	1164594	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia yuzhufengensis
c_5492_S3_67	8.5550	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_68	522.3842	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_69	10.4925	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_70	20.0614	28211	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
c_5492_S3_71	45.5833	80840	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	NA	NA	NA
c_5492_S3_72	9.8333	2653152	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. 9I
c_5492_S3_73	417.9272	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_74	11.2917	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_75	16.4356	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_76	19.2995	1420917	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter	Marinobacter salarius
c_5492_S3_77	15.6380	344880	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas dokdonensis
c_5492_S3_78	204.3953	75682	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	NA
c_5492_S3_79	96.7475	573	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
c_5492_S3_80	10.3968	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_81	152.6553	12916	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	NA
c_5492_S3_82	28.3555	364039	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Azohydromonas	Azohydromonas australica
